No,name,desc,img,price
1,Lexus RX,"2016г.,3.5л.,вариаторвнедорожник5дв.,гибридрульслева,120000км",https://im.mashina.kg/tachka/images//3/f/2/3f2a869bb1798bcaae6422f8ec01d327_240x180.jpg,$ 39 900
2,Kia Sorento,"2017г.,3.3л.,автоматвнедорожник5дв.,бензинрульслева,104607км",https://im.mashina.kg/tachka/images//8/2/0/82006068bad0bd1885e7fae676e83ff9_240x180.jpg,$ 15 000
3,LiXiang L9,"2023г.,1.5л.,автоматвнедорожник5дв.,гибридрульслева,5800км",https://im.mashina.kg/tachka/images//c/e/9/ce90c6c12dfeacad95ea5f4fec3ac1d3_240x180.jpg,$ 61 000
4,Kia Mohave (Borrego),"2020г.,3л.,автоматвнедорожник5дв.,дизельрульслева,60000км",https://im.mashina.kg/tachka/images//f/5/e/f5e6e808a45d08be0004acd979efd5a6_240x180.jpg,$ 38 000
5,BMW 5 серии,"2018г.,2л.,автоматседан,дизельрульслева,127680км",https://im.mashina.kg/tachka/images//6/0/3/603376424e82a3c85a763c4d5616c8b1_240x180.jpg,$ 28 500
6,Land Rover Range Rover Sport,"2019г.,3л.,автоматвнедорожник5дв.,бензинрульслева,90000км",https://im.mashina.kg/tachka/images//0/8/0/0806b3cb55777601da98b6ea90172188_240x180.jpg,$ 65 000
7,Chevrolet Malibu,"2018г.,1.5л.,автоматседан,бензинрульслева,107600км",https://im.mashina.kg/tachka/images//2/9/c/29c7c29d05fc1399b391db39b15f6da2_240x180.jpg,$ 10 500
8,BMW X7,"2019г.,3л.,автоматвнедорожник5дв.,бензинрульслева,75000км",https://im.mashina.kg/tachka/images//6/f/f/6ff25079c533f3dbc0373b9bb3108be8_240x180.jpg,$ 70 000
9,Chevrolet Malibu,"2017г.,1.5л.,автоматседан,бензинрульслева,194000км",https://im.mashina.kg/tachka/images//0/c/c/0cccc82790b4f6dbdd141866a2368958_240x180.jpg,$ 10 500
10,Cadillac Escalade,"2021г.,6.2л.,автоматвнедорожник5дв.,бензинрульслева,35000км",https://im.mashina.kg/tachka/images//4/a/9/4a9acc8eea9ea6d03448506f3442589d_240x180.jpg,$ 115 000
11,Mercedes-Benz E-Класс AMG,"2017г.,3л.,автоматседан,бензинрульслева,75000км",https://im.mashina.kg/tachka/images//2/9/7/297b7c49aeabacf9f210965cad1ea695_240x180.jpg,$ 57 000
12,Lexus GX,"2017г.,4.6л.,автоматвнедорожник5дв.,бензинрульслева",https://im.mashina.kg/tachka/images//3/d/c/3dc9c6dd2453b80cc40c698e516a81a9_240x180.jpg,$ 42 500
13,Zeekr 007,"2024г.,автоматседан,электрорульслева,30км",https://im.mashina.kg/tachka/images//b/b/1/bb10046278ced7db38622d037e553d24_240x180.jpg,$ 51 900
14,BMW X6,"2021г.,3л.,автоматвнедорожник5дв.,бензинрульслева,71000км",https://im.mashina.kg/tachka/images//2/d/1/2d1eacdb3b86575c83fc9d9b9444d285_240x180.jpg,$ 85 000
15,BMW X7,"2019г.,3л.,автоматвнедорожник5дв.,дизельрульслева,54000км",https://im.mashina.kg/tachka/images//f/b/2/fb218463bfa9ed910a56505e771c8bb5_240x180.jpg,$ 95 000
16,BMW X5,"2021г.,4.4л.,автоматвнедорожник5дв.,бензинрульслева,21000км",https://im.mashina.kg/tachka/images//e/6/b/e6b04c851df02d9c6c7d27abc9c28ff9_240x180.jpg,$ 99 000
17,BMW iX,"2021г.,автоматвнедорожник5дв.,электрорульслева,7000км",https://im.mashina.kg/tachka/images//4/f/7/4f70d1ffd372bcfcec8974e5e1ccbd32_240x180.jpg,$ 85 000
18,BMW X7,"2021г.,4.4л.,автоматвнедорожник5дв.,бензинрульслева,34000км",https://im.mashina.kg/tachka/images//a/7/c/a7c003282161f8b379b66733842dd420_240x180.jpg,$ 119 000
19,BMW X5,"2021г.,4.4л.,автоматвнедорожник5дв.,бензинрульслева,31000км",https://im.mashina.kg/tachka/images//6/7/f/67fb34379f3d1f0a66b1e294ec1de842_240x180.jpg,$ 98 000
20,Hyundai Genesis,"2014г.,3.8л.,автоматседан,бензинрульслева,100000км",https://im.mashina.kg/tachka/images//8/f/4/8f4137e8a140658bcd86a7a2cd0b123a_240x180.jpg,$ 21 000
21,Lexus RX,"2016г.,3.5л.,вариаторвнедорожник5дв.,гибридрульслева,120000км",https://im.mashina.kg/tachka/images//3/f/2/3f2a869bb1798bcaae6422f8ec01d327_240x180.jpg,$ 39 900
